date,trap,lat,long,station,accuracy,species_ERRATICUS,species_PIPIENS,species_PIPIENS/RESTUANS,species_RESTUANS,species_SALINARIUS,species_TARSALIS,species_TERRITANS,num_mos,wnv
2007-05-29,T002,41.95469,-87.800991,1,9,0,0,1,0,0,0,0,1,0
2007-05-29,T002,41.95469,-87.800991,1,9,0,0,0,1,0,0,0,1,0
2007-05-29,T007,41.994991,-87.769279,1,9,0,0,0,1,0,0,0,1,0
2007-05-29,T015,41.974089,-87.824812,1,8,0,0,1,0,0,0,0,1,0
2007-05-29,T015,41.974089,-87.824812,1,8,0,0,0,1,0,0,0,4,0
2007-05-29,T045,41.9216,-87.666455,2,8,0,0,0,1,0,0,0,2,0
2007-05-29,T046,41.891118,-87.65449100000001,2,8,0,0,0,1,0,0,0,1,0
2007-05-29,T048,41.867108,-87.654224,2,8,0,0,1,0,0,0,0,1,0
2007-05-29,T048,41.867108,-87.654224,2,8,0,0,0,1,0,0,0,2,0
2007-05-29,T049,41.896282,-87.655232,2,8,0,0,0,1,0,0,0,1,0
2007-05-29,T050,41.919343,-87.694259,2,8,0,0,1,0,0,0,0,1,0
2007-05-29,T054,41.921965,-87.632085,2,8,0,0,1,0,0,0,0,2,0
2007-05-29,T054,41.921965,-87.632085,2,8,0,0,0,1,0,0,0,3,0
2007-05-29,T086,41.688324,-87.676709,2,8,0,0,1,0,0,0,0,1,0
2007-05-29,T086,41.688324,-87.676709,2,8,0,0,0,1,0,0,0,1,0
2007-05-29,T091,41.862292,-87.64886,2,8,0,0,0,1,0,0,0,1,0
2007-05-29,T094,41.720848,-87.666014,2,9,0,0,0,1,0,0,0,3,0
2007-05-29,T096,41.731922,-87.677512,2,8,0,1,0,0,0,0,0,1,0
2007-05-29,T096,41.731922,-87.677512,2,8,0,0,0,1,0,0,0,5,0
2007-05-29,T129,41.891126,-87.61156,2,5,0,0,1,0,0,0,0,1,0
2007-05-29,T129,41.891126,-87.61156,2,5,0,0,0,1,0,0,0,2,0
2007-05-29,T143,41.999128999999996,-87.795585,1,8,0,0,1,0,0,0,0,1,0
2007-05-29,T148,42.01743,-87.68776899999999,1,8,0,0,1,0,0,0,0,1,0
2007-05-29,T153,41.907645,-87.760886,2,8,0,0,0,1,0,0,0,1,0
2007-05-29,T159,41.732984,-87.649642,2,8,0,0,0,1,0,0,0,1,0
2007-06-05,T002,41.95469,-87.800991,1,9,0,1,0,0,0,0,0,1,0
2007-06-05,T002,41.95469,-87.800991,1,9,0,0,1,0,0,0,0,3,0
2007-06-05,T002,41.95469,-87.800991,1,9,0,0,0,1,0,0,0,5,0
2007-06-05,T009,41.981964000000005,-87.812827,1,8,0,0,0,1,0,0,0,2,0
2007-06-05,T011,41.944869,-87.832763,1,8,0,0,0,1,0,0,0,1,0
2007-06-05,T015,41.974089,-87.824812,1,8,0,0,1,0,0,0,0,1,0
2007-06-05,T015,41.974089,-87.824812,1,8,0,0,0,1,0,0,0,2,0
2007-06-05,T016,42.011601,-87.81150600000001,1,8,0,0,0,1,0,0,0,1,0
2007-06-05,T019,41.94983,-87.69845699999999,2,9,0,0,0,1,0,0,0,1,0
2007-06-05,T025,41.979243,-87.750938,1,9,0,0,0,1,0,0,0,1,0
2007-06-05,T028,41.986921,-87.689778,1,9,0,0,0,1,0,0,0,2,0
2007-06-05,T031,41.801497999999995,-87.763416,2,9,0,0,1,0,0,0,0,1,0
2007-06-05,T033,41.906638,-87.701431,2,9,0,0,0,1,0,0,0,3,0
2007-06-05,T045,41.9216,-87.666455,2,8,0,1,0,0,0,0,0,1,0
2007-06-05,T045,41.9216,-87.666455,2,8,0,0,1,0,0,0,0,1,0
2007-06-05,T045,41.9216,-87.666455,2,8,0,0,0,1,0,0,0,2,0
2007-06-05,T046,41.891118,-87.65449100000001,2,8,0,0,0,1,0,0,0,1,0
2007-06-05,T048,41.867108,-87.654224,2,8,0,1,0,0,0,0,0,2,0
2007-06-05,T048,41.867108,-87.654224,2,8,0,0,1,0,0,0,0,1,0
